,date,Elevation 1,Elevation 1 sm,Elevation 2,Elevation 2 sm,Elevation 3,Elevation 3 sm
0,2010-07-29,2475.6340844353936,2475.6462062516734,2475.5124589942598,2475.5527479413377,2476.797431453726,2476.901471981649
1,2010-09-23,2476.5226204503906,2475.6755664127186,2476.498380063196,2475.5705815240094,2477.233420140595,2476.9364032230806
2,2010-11-08,2476.205530764128,2475.704519359052,2476.08061796376,2475.591116755528,2477.2768964592888,2476.968290109941
3,2010-12-13,2475.794550967656,2475.7306691297367,2475.692059464065,2475.6123141128605,2476.914180292471,2476.9950755624204
4,2011-01-19,2475.550582632652,2475.7610138924474,2475.33623008019,2475.6388880933237,2476.942511125632,2477.024352220583
5,2011-02-24,2475.432491789488,2475.7883056053565,2475.179192241349,2475.6625954807205,2476.868696781205,2477.049284549843
6,2011-04-03,2475.8370571238897,2475.8358991929595,2475.679568237424,2475.705445752914,2477.1516530605904,2477.0737308616585
7,2011-05-19,2475.699859724781,2475.9236462274143,2475.47823134901,2475.7894718919647,2477.0480511208552,2477.1216121288658
8,2011-06-26,2476.0316734498056,2476.0049457476034,2475.928533748553,2475.874743357782,2477.2025548977517,2477.170899968011
9,2011-08-06,2476.219852172462,2476.085474179981,2476.127643723154,2475.9670745303383,2477.2421439479067,2477.2150561835588
10,2011-09-08,2476.495092374431,2476.1364990236398,2476.411042805078,2476.024780307026,2477.342318227406,2477.2414485166314
11,2011-10-14,2476.2881258586367,2476.167924567244,2476.1925341607503,2476.057116250263,2477.2735155568757,2477.2584433190873
12,2011-11-17,2476.30869871512,2476.162073953742,2476.2141022942988,2476.04356556066,2477.365842582719,2477.2590558888546
13,2011-12-29,2476.034733016568,2476.1368687837667,2475.8560778055626,2476.0069848592843,2477.2354371181536,2477.252376780364
14,2012-02-06,2476.142968846149,2476.0961685292737,2476.053874879534,2475.9558856814147,2477.2228026581915,2477.2353720667716
15,2012-03-23,2475.9912713123204,2476.079062471843,2475.7872263098616,2475.928768154129,2477.2769329329867,2477.2146268942215
16,2012-04-29,2475.7974898691223,2476.1413844821554,2475.622865109289,2475.9960108820983,2477.1169800919643,2477.2025435410224
17,2012-06-02,2475.842061875699,2476.221681003998,2475.676566120762,2476.088926941336,2477.122430345311,2477.196021954253
18,2012-07-16,2476.226185003612,2476.3509083847002,2476.1273893238576,2476.242141004547,2477.166809345549,2477.199339839889
19,2012-08-21,2477.0859070836577,2476.453790312151,2477.179350341874,2476.365037982016,2477.492852224342,2477.205975328496
